"","State","X","Year","Population","Violent.Crime.rate","Murder.and.nonnegligent.manslaughter.rate","Legacy.rape.rate..1","Revised.rape.rate..2","Robbery.rate","Aggravated.assault.rate","Total","American.Indian...Alaska.Native","Asian...Pacific.Islander","Hispanic","Black","White","Economically.disadvantaged","Limited.English.proficiency","Students.with.disabilities"
"1","Alabama",14,2013,4833996,431,7.2,30,42.5,96.1,285.2,"80.0","86","89","74","73.9","83.9","71.8","44","76.9"
"2","Alaska",29,2013,737259,638.7,4.6,89.1,125.5,84.5,424.1,"71.8","57","77","73","65","77.9","59.5","40","43"
"3","Arizona",44,2013,6634997,415.6,5.4,35.3,47.8,100.3,262.1,"75.1","61.1","84","68.9","69.6","82.6","69.4","20","63.3"
"4","Arkansas",59,2013,2958765,463.2,5.3,38.4,50.4,76.4,331.1,"84.9","78","81","82","78.1","87.8","80.3","81","80.4"
"5","California",74,2013,38431393,402.6,4.5,19.4,26.9,139.6,231.7,"80.4","72.8","90.9","75.7","68.1","87.7","74.8","63.1","61.9"
"6","Colorado",89,2013,5272086,305.4,3.3,41.7,56.2,59.5,186.4,"76.9","61","85","65.4","69.5","82.8","63.7","58.5","53.8"
"7","Connecticut",104,2013,3599341,262.2,2.5,18,24.8,98.7,136.3,"85.5","82","93","70.2","75.7","91.4","72.1","64","64.7"
"8","Delaware",119,2013,925240,500.7,4.4,30,43.1,133.3,319.9,"80.4","80","88","78","76.1","83.1","74.2","71","60"
"9","District of Columbia",134,2013,649111,1296.4,15.9,45.8,60.9,628.9,590.8,"62.3","<>","86","62","60.7","85","58.9","52","41"
"10","Florida",149,2013,19600311,469.3,5,24.3,34.5,118.4,311.5,"75.6","77","88.4","74.9","64.6","80.5","67.0","57.5","52.3"
"11","Georgia",164,2013,9994759,375.4,5.6,20.2,28.9,127.1,213.7,"71.7","64","81.8","62.6","64.4","79.2","63.8","43.8","35.1"
"12","Hawaii",179,2013,1408987,254.4,2.3,26,36.1,66.3,149.8,"82.4","62","83.8","77","75","79","78.2","57","61"
"13","Illinois",209,2013,12890552,403.1,5.6,30.2,41.4,137.6,218.5,"83.2","78","91.7","76.3","70.9","89.3","73.0","63.7","70.1"
"14","Indiana",224,2013,6570713,359.6,5.4,24.7,34.1,108.3,211.8,"87.0","86","89","82.5","73.8","89.7","82.7","78","69.3"
"15","Iowa",239,2013,3092341,273,1.3,28.2,36.6,30.3,204.8,"89.7","83","90","80","74","91.5","80.4","76","72.7"
"16","Kansas",254,2013,2895801,342.8,4,34.6,44.7,46.2,247.8,"85.7","77","89","79.9","76","88.1","76.6","75","77.8"
"17","Kentucky",269,2013,4399583,210.9,3.9,21.6,37.4,73.8,95.8,"86.1","79","87","80","78.4","87.6","85.4","64","52"
"18","Louisiana",284,2013,4629284,521.2,10.7,27,38.1,119.7,352.8,"73.5","75","85","73","65.9","80.2","67.7","48","36.7"
"19","Maine",299,2013,1328702,132.5,1.8,27.5,37.3,25.2,68.3,"86.4","72",">=95%","81","75","86.9","76.9","73","70"
"20","Maryland",314,2013,5938737,475.4,6.5,19.9,28.3,169.2,271.5,"85.0","83","94.8","75.1","78.3","91.1","75.8","57","60.0"
"21","Massachusetts",329,2013,6708874,406.4,2.1,25.7,34.3,99.9,270.1,"85.0","73","90.2","66.8","73.8","90.1","73.6","63.5","67.8"
